ID,Work Item Type,Title,State,Tags,Description,Acceptance Criteria,Closed Date
"32924","Technical Debt","[Trev] Update Trev to fetch all events and filter in code","Closed","Craigmore; Ngai Tahu","<h2>Background </h2><div>Please note, if <a href=""https://dev.azure.com/rezaresystems/Map%20of%20Ag%20-%20New%20Product%20Development/_workitems/edit/34284/"" data-vss-mention=""version:1.0"">#34284</a>&nbsp;works, this ticket is not needed anymore. </div><div><br> </div><div>Since <a href=""https://dev.azure.com/rezaresystems/Map%20of%20Ag%20-%20New%20Product%20Development/_workitems/edit/32643/"" data-vss-mention=""version:1.0"">#32643</a>&nbsp;we fetch Class Change In (AgedIn) and Class Change Out (AgedOut) from Trev for a given farm. However, those events are not required to exist on a given farm. Calling it for a farm that does not have the event in question will cause a 500 with a html response. (It seems like the API we are calling from Trev is their BFF). This HTML page does not give any indication on what has happened.&nbsp;<span style=""display:inline !important;"">To make Trev working for Craigmore's deadline (31st of October 2024) we just capture 500s and log them as warning (to avoid prod alerts all the time). The currently implemented way of capturing the 500 is also a precaution for other customers. Trev will respond in the same manner if the farm in question does not have births events available (which Craigmore's and Ngai Tahu's farms happened to have).</span> </div><div><br> </div><h2>Implication </h2><div><span>If there is an actual 500 that we would like to get notified on, we won't. The customer will find missing data and we will find the appropriate log line and say &quot;Oh we logged it, but didn't alert ourselves. How stupid of us.&quot;.&nbsp;</span> </div><div><span><br></span> </div><h2>Proposed Solution </h2><div>Ideally, we would change the ingestion to fetch all the livestock-events of the farm that was triggered via the data connection and filter them in code for the events. But this is a medium sized change and will need some good testing. </div><div><br> </div><div><b>Currently, we use&nbsp;</b> </div><div><a href=""https://go.mytrev.com/api/v1/"" target=_blank rel=""noopener noreferrer"">https://go.mytrev.com/api/v1/</a>livestock-events?filter[event_type]={event_code}&amp;filter[farm_id]={farm_id}<br> </div><div><br> </div><div><span><b>The proposed solution is to call&nbsp;</b></span> </div><div><a href=""https://go.mytrev.com/api/v1/"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"" target=_blank rel=""noopener noreferrer"">https://go.mytrev.com/api/v1/</a><span style=""display:inline !important;"">livestock-events?filter[farm_id]={farm_id}</span><br> </div><div><br> </div><div>at the beginning of the ingestion and filter the event types in code in the returned livestock events. </div><div><br> </div><div><br> </div><div><b>Acceptance Criteria:</b> </div><div><ul><li>Ingestion does not throw exceptions if event type does not exist </li><li>Ingestion does throw exceptions for other 500 responses </li><li>The written events have not changed in comparison to before this change </li> </ul> </div><div><br> </div><div>FYI <a href=""#"" data-vss-mention=""version:2.0,9b760068-97fe-4ffe-a3b9-b3d6823c97d3"">@Chris Lloyd</a>&nbsp;<a href=""#"" data-vss-mention=""version:2.0,683a7630-c31f-4d82-921f-e4e899f473f1"">@Miranda Hennebry</a>&nbsp;<a href=""#"" data-vss-mention=""version:2.0,5166e64b-5047-6aef-9f66-3e4b8865cf0a"">@Matt McKinley</a>&nbsp;<a href=""#"" data-vss-mention=""version:2.0,f50821f8-433c-40ad-a9c2-3136dc6bea69"">@Wade Parker</a>&nbsp;<a href=""#"" data-vss-mention=""version:2.0,80755a66-4b9f-4507-9a7b-97964f3682f7"">@Daniel Buchanan</a> </div>",,"4/2/2025 9:53:18 AM"
"35058","Bug","[Tools] Metabase stack deployment isn't working","Closed","Tooling",,,"4/2/2025 2:00:34 PM"
"34940","User Story","[ANZCO] Write ingestion - Fetch","Closed","ANZCO; ASB","<div><span style=""display:inline !important;"">As a Farmer I want to be able to provide my ANZCO data to a data consumer so that they can receive carcass observations</span><br> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div><br> </div><div><b>Infrastructure setup in ingestion repo:</b> </div><div><span style=""display:inline !important;"">Infrastructure ingestion name will need to be: anzco</span><br> </div><div><br> </div><div><span style=""display:inline !important;""><b>SFF will drop files into S3 Bucket.</b></span> </div><div><span style=""display:inline !important;"">moa.ingestion.anzco/dropdate/supplier#/plantnumberOrName/species/killsheet#.csv</span> </div><div><span style=""display:inline !important;""><br></span> </div><div><span style=""display:inline !important;"">ANZCO expect dropping every 24 hours would be realistic.</span> </div><div><span style=""display:inline !important;""><br></span> </div><div><span style=""display:inline !important;""><b>Raw bucket file pass</b></span> </div><div>anzco/dropdate/supplier#/filename(universalId-killsheet#.csv) </div><div><br> </div><div>Fetch find data connection with the supplier# in the connection parameters. If there is no connection, stop processing. </div><div><br> </div><div>Send the following additional event attributes to standardisation: </div><div><ul><li>supplier# </li><li><span style=""text-align:start;display:inline !important;"">plantnumberOrName</span> </li><li><span style=""text-align:start;display:inline !important;"">species</span> </li><li><span style=""text-align:start;display:inline !important;"">entity_id of the holding of the found connection</span> </li> </ul><div>The connection parameters on the ANZCO connection will be something like: </div><div><p style=""box-sizing:border-box;margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">{ </p><p style=""box-sizing:border-box;margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">&nbsp; &nbsp; &quot;supplier_numbers&quot;: [&quot;S123456&quot;, &quot;S789456&quot;, etc.&nbsp;<span style=""box-sizing:border-box;"">] // this can be one or many</span> </p><p style=""box-sizing:border-box;margin:0cm;font-size:10pt;font-family:Aptos, sans-serif;"">} </p><br> </div><div>Drop a copy of the file into the raw bucket for each data connection where the supplier# is present. <br> </div><div><br> </div><div>If the file dropped is not a csv or is actually a folder log a warning and then exit gracefully to prevent the queue getting blocked. </div><div><br> </div> </div><div><span style=""font-family:Aptos, sans-serif;font-size:14.6667px;display:inline !important;""><b>Please note:</b> a farmer will need to be able to provide<b> multiple supplier numbers </b>(this is just for how to search for connections with the supplier number)</span><br> </div><div> </div>","<i><ul><li><i>The files written to the raw bucket and the fetch event is published</i> </li><li><i>The fetch logs are successful</i> </li> </ul></i>","4/2/2025 2:03:36 PM"
"34943","User Story","[ANZCO] Write ingestion - Standardise carcass observations - Cattle","Closed","ANZCO; ASB","<div><span style=""display:inline !important;"">s a Farmer I want to be able to provide my ANZCO data to a data consumer so that they can receive carcass observation events events</span><br> </div><div> </div><div> </div><div> </div><div> </div><div> </div><div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Pick up the file from the raw bucket</span><span style=""box-sizing:border-box;""></span> </li><ol style=""box-sizing:border-box;padding-left:40px;list-style:lower-alpha;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">anzco/dropdate/supplier#/filename(universalId-killsheet#.csv) </div></span> </li> </ol><li style=""box-sizing:border-box;"">Consider attributes of incoming event </li><ol style=""box-sizing:border-box;padding-left:40px;list-style:lower-alpha;""><li style=""box-sizing:border-box;"">supplier# </li><li style=""box-sizing:border-box;"">plantnumberOrName </li><li style=""box-sizing:border-box;"">species </li><li style=""box-sizing:border-box;"">entity_id of the holding of the found connection </li> </ol><li style=""box-sizing:border-box;"">Create a <span>carcass observations event&nbsp;</span>for each entry (every row in the provided csv) </li> </ol><div>Mapping: </div><div><ul><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/EblNLgpuaFxJlB8s4xAs_nEBxN2HuP4xzc45bCgmYRxwVA?e=3Znd7E"">MapANZCOCarcassObservations.json</a><br> </li><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/Eb8d-Og1AEZLsiNLthZxSugBdyAsmlamveuCU2rkfjWdOA?e=KOnCRF"">NewMapANZCOCarcassObservations.json </a> </li><li><a href=""https://mapofag.sharepoint.com/:w:/s/Project/project_MapofAg_PureFarming/Ef8fpmXQNg5JhReL7KX0OpcBJukRgRjixQiZil_XXj4OhA?e=skR4TU"">MappingNotes.docx</a><br> </li> </ul> </div><div><br> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Testing:</b> </div><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">Please check the data writer is triggered and run successfully, but this is not a blocking requirement for this story </li> </ul> </div><br> </div>","<div><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">Standardised file is created/mapped correclty according to the mapping file&nbsp;<a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/ETVtNdFo6G1FpfmIyRnY6KEBzTvh81aUcEH-KVsc-KvYiA?e=BJrwTE"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">MapSFFCarcassObservations.json</a>. </li><li style=""box-sizing:border-box;"">Standardised logs are without errors </li> </ul><br> </div>","4/2/2025 2:03:37 PM"
"34942","User Story","[ANZCO] Write ingestion - Standardise carcass observations - Sheep","Closed","ANZCO; ASB","<div><span style=""display:inline !important;"">As a Farmer I want to be able to provide my ANZCO data to a data consumer so that they can receive carcass observation events events</span><br> </div><div> </div><div> </div><div> </div><div> </div><div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Pick up the file from the raw bucket</span><span style=""box-sizing:border-box;""></span> </li><ol style=""box-sizing:border-box;padding-left:40px;list-style:lower-alpha;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">anzco/dropdate/supplier#/filename(universalId-killsheet#.csv) </div></span> </li> </ol><li style=""box-sizing:border-box;"">Consider attributes of incoming event </li><ol style=""box-sizing:border-box;padding-left:40px;list-style:lower-alpha;""><li style=""box-sizing:border-box;"">supplier# </li><li style=""box-sizing:border-box;"">plantnumberOrName </li><li style=""box-sizing:border-box;"">species </li><li style=""box-sizing:border-box;"">entity_id of the holding of the found connection </li> </ol><li style=""box-sizing:border-box;"">Create a <span>carcass observations event&nbsp;</span>for each entry (every row in the provided csv) </li> </ol><div>Mapping: </div><div><ul><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/EblNLgpuaFxJlB8s4xAs_nEBxN2HuP4xzc45bCgmYRxwVA?e=3Znd7E"">MapANZCOCarcassObservations.json</a><br> </li><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/Eb8d-Og1AEZLsiNLthZxSugBdyAsmlamveuCU2rkfjWdOA?e=KOnCRF"">NewMapANZCOCarcassObservations.json </a> </li><li><a href=""https://mapofag.sharepoint.com/:w:/s/Project/project_MapofAg_PureFarming/Ef8fpmXQNg5JhReL7KX0OpcBJukRgRjixQiZil_XXj4OhA?e=skR4TU"">MappingNotes.docx</a><br> </li> </ul> </div><div><br> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Testing:</b> </div><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">Please check the data writer is triggered and run successfully, but this is not a blocking requirement for this story </li> </ul> </div><br> </div>","<div><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">Standardised file is created/mapped correclty according to the mapping file&nbsp;<a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/ETVtNdFo6G1FpfmIyRnY6KEBzTvh81aUcEH-KVsc-KvYiA?e=BJrwTE"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">MapSFFCarcassObservations.json</a>. </li><li style=""box-sizing:border-box;"">Standardised logs are without errors </li> </ul><br> </div>","4/2/2025 2:03:38 PM"
"34945","User Story","[ANZCO] Write ingestion - Standardise livestock financial transactions","Closed","ANZCO; ASB","<div><span style=""display:inline !important;"">As a Farmer I want to be able to provide my ANZCO data to a data consumer so that they can receive livestock financial transactions by stock type for animals slaughtered in a lot.</span><br> </div><div> </div><div> </div><div> </div><div> </div><div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;""><span>Pick up the file from the raw bucket </span><span> </span> </li><ol style=""list-style:lower-alpha;""><li style=""box-sizing:border-box;""><span><div style=""box-sizing:border-box;text-align:start;"">anzco/dropdate/supplier#/filename(universalId-killsheet#.csv) </div></span> </li> </ol><li>Consider attributes of incoming event </li><ol style=""list-style:lower-alpha;""><li>supplier# </li><li>plantnumberOrName </li><li>species </li><li>entity_id of the holding of the found connection </li> </ol><li style=""box-sizing:border-box;"">Create a <span>livestock financial transaction&nbsp;</span>for each category of animal (defined by an inventory classification) in a processing lot. </li> </ol><div><b>Mapping:</b> </div><div><ul><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/EbzYH0BhMVJAqlWyk3IOmKoB5_JijmGF75oJ0IyGF24SsA?e=Hm5oKO"">MapANZCOLivestockFinancialTransaction.json</a><br> </li><li><a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/EQI9M3yMjbhMtpl5u_gR94EBjVQsWJyIt_g_4LVXeT6DqA?e=VAXBaP"">NewMapANZCOLivestockFinancialTransaction.json</a><br> </li><li><a href=""https://mapofag.sharepoint.com/:w:/s/Project/project_MapofAg_PureFarming/Ef8fpmXQNg5JhReL7KX0OpcBJukRgRjixQiZil_XXj4OhA?e=7kz8FK"">MappingNotes.docx</a> </li> </ul> </div><div><b>Testing:</b> </div><div><ul><li>Please check the data writer is triggered and run successfully, but this is not a blocking requirement for this story </li> </ul><div><b>Please Note:</b> </div><div>Each killsheet will create at least one, but maybe more (depending on the animal category type) </div> </div> </div>","<div><ul><li>Standardised file is created/mapped correclty according to the mapping file&nbsp;<a href=""https://mapofag.sharepoint.com/:u:/s/Project/project_MapofAg_PureFarming/EbzYH0BhMVJAqlWyk3IOmKoB5_JijmGF75oJ0IyGF24SsA?e=Hm5oKO"" style=""box-sizing:border-box;text-decoration:underline;cursor:pointer;"">MapANZCOLivestockFinancialTransaction.json</a> </li><li>Standardised logs are without errors </li> </ul> </div>","4/2/2025 2:03:39 PM"
"35322","User Story","[ANZCO] Validation of supplier numbers","Closed","ANZCO; ASB","<div>As part of the ANZCO flow in the provider UI we should validate that the entered supplier numbers match how the ANZCO supplier numbers are created.<br><br>Added as a separate story so as to not block testing by having the UI not be available. </div>",,"4/2/2025 2:04:24 PM"
"35238","User Story","Designing test cases for ANZCO","Closed",,"<div>Added new ANZCO test cases in <a href=""https://dev.azure.com/rezaresystems/Map%20of%20Ag%20-%20New%20Product%20Development/_testPlans/define?planId=35239&amp;suiteId=35240"">ANZCO Test Plan</a> </div>",,"4/2/2025 2:07:30 PM"
"35364","Bug","[Silver Fern Farms] [ANZCO] Data writer error in both ""Carcass Observations Event"" and ""Financial Transaction""","Closed","ANZCO; Data Processing; Silver Fern Farms",,,"4/3/2025 1:04:09 PM"
"32568","User Story","[Appraise][Provider] Call redirectUrl if data-request is declined","Closed","Provider","<div>When Appraise redirects to Pure Farming to accept a data request it provides a redirectUrl. When the data-request is accepted and data-sources connected - you click the Complete button and this redirects back to the redirectUrl. </div><div><br> </div><div>This is not so when you decline a data-request. If the data-request is declined then it should also call the redirectUrl. </div><div><br> </div><div>The status will be returned to Appraise consistent with other places we use the redirect URL. </div>",,"4/3/2025 4:39:20 PM"
